Archivo: a280.tsp, semilla: 15391952
Permutacion Pos1: (221(Ciudad: 12)) -> Pos2: (180(Ciudad: 54)). Coste sin permutar: 28784.370353505507, Coste con permutacion: 28148.849765758274

Permutacion Pos1: (98(Ciudad: 142)) -> Pos2: (45(Ciudad: 29)). Coste sin permutar: 28148.849765758274, Coste con permutacion: 27619.63654100807

Permutacion Pos1: (145(Ciudad: 207)) -> Pos2: (114(Ciudad: 15)). Coste sin permutar: 27619.63654100807, Coste con permutacion: 27151.037357232886

Permutacion Pos1: (2(Ciudad: 117)) -> Pos2: (87(Ciudad: 178)). Coste sin permutar: 27151.037357232886, Coste con permutacion: 26638.806321999382

Permutacion Pos1: (38(Ciudad: 161)) -> Pos2: (49(Ciudad: 145)). Coste sin permutar: 26638.806321999382, Coste con permutacion: 26190.372696100207

Permutacion Pos1: (124(Ciudad: 57)) -> Pos2: (189(Ciudad: 26)). Coste sin permutar: 26190.372696100207, Coste con permutacion: 25833.496726916735

Permutacion Pos1: (274(Ciudad: 247)) -> Pos2: (224(Ciudad: 237)). Coste sin permutar: 25833.496726916735, Coste con permutacion: 25505.963077546272

Permutacion Pos1: (235(Ciudad: 230)) -> Pos2: (207(Ciudad: 226)). Coste sin permutar: 25505.963077546272, Coste con permutacion: 25101.204604628638

Permutacion Pos1: (139(Ciudad: 276)) -> Pos2: (128(Ciudad: 212)). Coste sin permutar: 25101.204604628638, Coste con permutacion: 24652.900207455903

Permutacion Pos1: (9(Ciudad: 171)) -> Pos2: (119(Ciudad: 180)). Coste sin permutar: 24652.900207455903, Coste con permutacion: 24264.927262230667

Permutacion Pos1: (158(Ciudad: 201)) -> Pos2: (69(Ciudad: 103)). Coste sin permutar: 24264.927262230667, Coste con permutacion: 23940.616062967016

Permutacion Pos1: (56(Ciudad: 254)) -> Pos2: (97(Ciudad: 20)). Coste sin permutar: 23940.616062967016, Coste con permutacion: 23661.345450737543

Permutacion Pos1: (12(Ciudad: 248)) -> Pos2: (210(Ciudad: 137)). Coste sin permutar: 23661.345450737543, Coste con permutacion: 23356.32589526101

Permutacion Pos1: (109(Ciudad: 118)) -> Pos2: (93(Ciudad: 46)). Coste sin permutar: 23356.32589526101, Coste con permutacion: 23023.171202735448

Permutacion Pos1: (250(Ciudad: 250)) -> Pos2: (206(Ciudad: 244)). Coste sin permutar: 23023.171202735448, Coste con permutacion: 22730.70814822516

Permutacion Pos1: (232(Ciudad: 259)) -> Pos2: (127(Ciudad: 8)). Coste sin permutar: 22730.70814822516, Coste con permutacion: 22455.947654868065

Permutacion Pos1: (233(Ciudad: 139)) -> Pos2: (22(Ciudad: 238)). Coste sin permutar: 22455.947654868065, Coste con permutacion: 22250.395282210076

