Archivo: a280.tsp, semilla: 53919521
Permutacion Pos1: (61(Ciudad: 60)) -> Pos2: (104(Ciudad: 174)). Coste sin permutar: 30766.861629500065, Coste con permutacion: 29872.25346804772

Permutacion Pos1: (138(Ciudad: 96)) -> Pos2: (277(Ciudad: 213)). Coste sin permutar: 29872.25346804772, Coste con permutacion: 29280.248867353068

Permutacion Pos1: (132(Ciudad: 210)) -> Pos2: (142(Ciudad: 112)). Coste sin permutar: 29280.248867353068, Coste con permutacion: 28732.446263148846

Permutacion Pos1: (97(Ciudad: 184)) -> Pos2: (55(Ciudad: 106)). Coste sin permutar: 28732.446263148846, Coste con permutacion: 28038.70381538817

Permutacion Pos1: (243(Ciudad: 239)) -> Pos2: (267(Ciudad: 53)). Coste sin permutar: 28038.70381538817, Coste con permutacion: 27489.41695180402

Permutacion Pos1: (231(Ciudad: 234)) -> Pos2: (264(Ciudad: 78)). Coste sin permutar: 27489.41695180402, Coste con permutacion: 27000.76843653486

Permutacion Pos1: (139(Ciudad: 234)) -> Pos2: (264(Ciudad: 256)). Coste sin permutar: 27000.76843653486, Coste con permutacion: 26618.607894074823

Permutacion Pos1: (145(Ciudad: 189)) -> Pos2: (124(Ciudad: 112)). Coste sin permutar: 26618.607894074823, Coste con permutacion: 26212.27099868945

Permutacion Pos1: (176(Ciudad: 202)) -> Pos2: (72(Ciudad: 84)). Coste sin permutar: 26212.27099868945, Coste con permutacion: 25677.74355367213

Permutacion Pos1: (14(Ciudad: 253)) -> Pos2: (141(Ciudad: 155)). Coste sin permutar: 25677.74355367213, Coste con permutacion: 25303.83285293082

Permutacion Pos1: (92(Ciudad: 270)) -> Pos2: (45(Ciudad: 115)). Coste sin permutar: 25303.83285293082, Coste con permutacion: 24726.783026976827

Permutacion Pos1: (132(Ciudad: 108)) -> Pos2: (119(Ciudad: 15)). Coste sin permutar: 24726.783026976827, Coste con permutacion: 24347.491598864744

Permutacion Pos1: (241(Ciudad: 81)) -> Pos2: (99(Ciudad: 96)). Coste sin permutar: 24347.491598864744, Coste con permutacion: 23987.265456276218

Permutacion Pos1: (126(Ciudad: 106)) -> Pos2: (97(Ciudad: 105)). Coste sin permutar: 23987.265456276218, Coste con permutacion: 23496.899764796006

Permutacion Pos1: (132(Ciudad: 153)) -> Pos2: (15(Ciudad: 15)). Coste sin permutar: 23496.899764796006, Coste con permutacion: 22997.367706286863

