Archivo: a280.tsp, semilla: 21539195
Permutacion Pos1: (242(Ciudad: 119)) -> Pos2: (21(Ciudad: 72)). Coste sin permutar: 29800.858742898734, Coste con permutacion: 29183.589301656117

Permutacion Pos1: (79(Ciudad: 143)) -> Pos2: (35(Ciudad: 205)). Coste sin permutar: 29183.589301656117, Coste con permutacion: 28581.595483581634

Permutacion Pos1: (247(Ciudad: 270)) -> Pos2: (59(Ciudad: 244)). Coste sin permutar: 28581.595483581634, Coste con permutacion: 27976.29894871536

Permutacion Pos1: (23(Ciudad: 164)) -> Pos2: (87(Ciudad: 267)). Coste sin permutar: 27976.29894871536, Coste con permutacion: 27052.596624285623

Permutacion Pos1: (81(Ciudad: 63)) -> Pos2: (154(Ciudad: 187)). Coste sin permutar: 27052.596624285623, Coste con permutacion: 26561.68483123961

Permutacion Pos1: (117(Ciudad: 213)) -> Pos2: (149(Ciudad: 272)). Coste sin permutar: 26561.68483123961, Coste con permutacion: 26093.84163887649

Permutacion Pos1: (73(Ciudad: 183)) -> Pos2: (43(Ciudad: 202)). Coste sin permutar: 26093.84163887649, Coste con permutacion: 25638.336043150215

Permutacion Pos1: (149(Ciudad: 254)) -> Pos2: (99(Ciudad: 213)). Coste sin permutar: 25638.336043150215, Coste con permutacion: 25319.46576207492

Permutacion Pos1: (96(Ciudad: 150)) -> Pos2: (3(Ciudad: 111)). Coste sin permutar: 25319.46576207492, Coste con permutacion: 24948.284435823785

Permutacion Pos1: (135(Ciudad: 118)) -> Pos2: (91(Ciudad: 252)). Coste sin permutar: 24948.284435823785, Coste con permutacion: 24637.887894889278

Permutacion Pos1: (0(Ciudad: 83)) -> Pos2: (176(Ciudad: 177)). Coste sin permutar: 24637.887894889278, Coste con permutacion: 24038.12997112807

Permutacion Pos1: (137(Ciudad: 204)) -> Pos2: (71(Ciudad: 42)). Coste sin permutar: 24038.12997112807, Coste con permutacion: 23677.664474537756

Permutacion Pos1: (15(Ciudad: 153)) -> Pos2: (5(Ciudad: 158)). Coste sin permutar: 23677.664474537756, Coste con permutacion: 23365.84827551351

Permutacion Pos1: (159(Ciudad: 55)) -> Pos2: (203(Ciudad: 217)). Coste sin permutar: 23365.84827551351, Coste con permutacion: 23091.27374635971

Permutacion Pos1: (11(Ciudad: 67)) -> Pos2: (236(Ciudad: 181)). Coste sin permutar: 23091.27374635971, Coste con permutacion: 22839.877594608733

Permutacion Pos1: (74(Ciudad: 204)) -> Pos2: (71(Ciudad: 125)). Coste sin permutar: 22839.877594608733, Coste con permutacion: 22558.555324030764

Permutacion Pos1: (148(Ciudad: 67)) -> Pos2: (236(Ciudad: 34)). Coste sin permutar: 22558.555324030764, Coste con permutacion: 22395.64133947756

Permutacion Pos1: (82(Ciudad: 16)) -> Pos2: (216(Ciudad: 222)). Coste sin permutar: 22395.64133947756, Coste con permutacion: 22172.57371985768

Permutacion Pos1: (69(Ciudad: 146)) -> Pos2: (33(Ciudad: 18)). Coste sin permutar: 22172.57371985768, Coste con permutacion: 21981.15768402124

Permutacion Pos1: (44(Ciudad: 159)) -> Pos2: (22(Ciudad: 130)). Coste sin permutar: 21981.15768402124, Coste con permutacion: 21707.518755056433

Permutacion Pos1: (99(Ciudad: 92)) -> Pos2: (201(Ciudad: 254)). Coste sin permutar: 21707.518755056433, Coste con permutacion: 21472.303981081015

Permutacion Pos1: (64(Ciudad: 223)) -> Pos2: (103(Ciudad: 124)). Coste sin permutar: 21472.303981081015, Coste con permutacion: 21066.19590221532

Permutacion Pos1: (267(Ciudad: 110)) -> Pos2: (251(Ciudad: 51)). Coste sin permutar: 21066.19590221532, Coste con permutacion: 20903.234549548775

Permutacion Pos1: (75(Ciudad: 38)) -> Pos2: (204(Ciudad: 197)). Coste sin permutar: 20903.234549548775, Coste con permutacion: 20720.048522274177

Permutacion Pos1: (55(Ciudad: 81)) -> Pos2: (148(Ciudad: 200)). Coste sin permutar: 20720.048522274177, Coste con permutacion: 20542.41808690727

Permutacion Pos1: (137(Ciudad: 75)) -> Pos2: (250(Ciudad: 42)). Coste sin permutar: 20542.41808690727, Coste con permutacion: 20262.486251823037

Permutacion Pos1: (222(Ciudad: 122)) -> Pos2: (37(Ciudad: 8)). Coste sin permutar: 20262.486251823037, Coste con permutacion: 20003.332259543888

Permutacion Pos1: (7(Ciudad: 240)) -> Pos2: (268(Ciudad: 139)). Coste sin permutar: 20003.332259543888, Coste con permutacion: 19771.947986441544

Permutacion Pos1: (274(Ciudad: 258)) -> Pos2: (109(Ciudad: 280)). Coste sin permutar: 19771.947986441544, Coste con permutacion: 19605.263699512303

Permutacion Pos1: (241(Ciudad: 254)) -> Pos2: (99(Ciudad: 74)). Coste sin permutar: 19605.263699512303, Coste con permutacion: 19413.924285913727

Permutacion Pos1: (176(Ciudad: 118)) -> Pos2: (91(Ciudad: 83)). Coste sin permutar: 19413.924285913727, Coste con permutacion: 19256.159221702426

Permutacion Pos1: (98(Ciudad: 140)) -> Pos2: (28(Ciudad: 207)). Coste sin permutar: 19256.159221702426, Coste con permutacion: 19091.824781924086

Permutacion Pos1: (162(Ciudad: 49)) -> Pos2: (232(Ciudad: 14)). Coste sin permutar: 19091.824781924086, Coste con permutacion: 18892.534862499997

Permutacion Pos1: (29(Ciudad: 112)) -> Pos2: (134(Ciudad: 154)). Coste sin permutar: 18892.534862499997, Coste con permutacion: 18751.863914512018

Permutacion Pos1: (145(Ciudad: 52)) -> Pos2: (198(Ciudad: 109)). Coste sin permutar: 18751.863914512018, Coste con permutacion: 18542.86124663148

Permutacion Pos1: (20(Ciudad: 188)) -> Pos2: (56(Ciudad: 147)). Coste sin permutar: 18542.86124663148, Coste con permutacion: 18351.94762194984

Permutacion Pos1: (206(Ciudad: 37)) -> Pos2: (220(Ciudad: 251)). Coste sin permutar: 18351.94762194984, Coste con permutacion: 18241.49525040702

