Archivo: a280.tsp, semilla: 52153919
Permutacion Pos1: (164(Ciudad: 272)) -> Pos2: (107(Ciudad: 40)). Coste sin permutar: 29446.613915668768, Coste con permutacion: 28932.300271636523

Permutacion Pos1: (94(Ciudad: 167)) -> Pos2: (178(Ciudad: 271)). Coste sin permutar: 28932.300271636523, Coste con permutacion: 28177.549669932607

Permutacion Pos1: (74(Ciudad: 45)) -> Pos2: (189(Ciudad: 205)). Coste sin permutar: 28177.549669932607, Coste con permutacion: 27444.488463803053

Permutacion Pos1: (260(Ciudad: 235)) -> Pos2: (277(Ciudad: 68)). Coste sin permutar: 27444.488463803053, Coste con permutacion: 27019.98622227035

Permutacion Pos1: (40(Ciudad: 172)) -> Pos2: (124(Ciudad: 130)). Coste sin permutar: 27019.98622227035, Coste con permutacion: 26545.721496750662

Permutacion Pos1: (160(Ciudad: 202)) -> Pos2: (72(Ciudad: 103)). Coste sin permutar: 26545.721496750662, Coste con permutacion: 25951.17908817224

Permutacion Pos1: (75(Ciudad: 219)) -> Pos2: (202(Ciudad: 17)). Coste sin permutar: 25951.17908817224, Coste con permutacion: 25162.167967862657

Permutacion Pos1: (69(Ciudad: 29)) -> Pos2: (102(Ciudad: 18)). Coste sin permutar: 25162.167967862657, Coste con permutacion: 24750.3047329215

Permutacion Pos1: (146(Ciudad: 219)) -> Pos2: (202(Ciudad: 15)). Coste sin permutar: 24750.3047329215, Coste con permutacion: 24447.56697840063

Permutacion Pos1: (178(Ciudad: 90)) -> Pos2: (180(Ciudad: 167)). Coste sin permutar: 24447.56697840063, Coste con permutacion: 24150.302017374914

Permutacion Pos1: (38(Ciudad: 28)) -> Pos2: (129(Ciudad: 143)). Coste sin permutar: 24150.302017374914, Coste con permutacion: 23904.386181698887

Permutacion Pos1: (234(Ciudad: 221)) -> Pos2: (201(Ciudad: 49)). Coste sin permutar: 23904.386181698887, Coste con permutacion: 23677.971977449575

Permutacion Pos1: (53(Ciudad: 114)) -> Pos2: (91(Ciudad: 199)). Coste sin permutar: 23677.971977449575, Coste con permutacion: 23406.622385250634

Permutacion Pos1: (275(Ciudad: 41)) -> Pos2: (152(Ciudad: 6)). Coste sin permutar: 23406.622385250634, Coste con permutacion: 22971.49143279688

Permutacion Pos1: (151(Ciudad: 114)) -> Pos2: (91(Ciudad: 42)). Coste sin permutar: 22971.49143279688, Coste con permutacion: 22532.538051684438

Permutacion Pos1: (31(Ciudad: 17)) -> Pos2: (75(Ciudad: 154)). Coste sin permutar: 22532.538051684438, Coste con permutacion: 22052.100959715975

Permutacion Pos1: (174(Ciudad: 68)) -> Pos2: (260(Ciudad: 275)). Coste sin permutar: 22052.100959715975, Coste con permutacion: 21743.020722334

Permutacion Pos1: (98(Ciudad: 278)) -> Pos2: (204(Ciudad: 206)). Coste sin permutar: 21743.020722334, Coste con permutacion: 21525.11937046174

Permutacion Pos1: (79(Ciudad: 43)) -> Pos2: (115(Ciudad: 107)). Coste sin permutar: 21525.11937046174, Coste con permutacion: 21235.36098785049

Permutacion Pos1: (153(Ciudad: 27)) -> Pos2: (132(Ciudad: 216)). Coste sin permutar: 21235.36098785049, Coste con permutacion: 20977.041529789258

Permutacion Pos1: (232(Ciudad: 204)) -> Pos2: (70(Ciudad: 226)). Coste sin permutar: 20977.041529789258, Coste con permutacion: 20652.906936067473

Permutacion Pos1: (123(Ciudad: 191)) -> Pos2: (127(Ciudad: 190)). Coste sin permutar: 20652.906936067473, Coste con permutacion: 20449.503845262447

Permutacion Pos1: (54(Ciudad: 241)) -> Pos2: (267(Ciudad: 162)). Coste sin permutar: 20449.503845262447, Coste con permutacion: 20157.333402902117

Permutacion Pos1: (148(Ciudad: 208)) -> Pos2: (104(Ciudad: 192)). Coste sin permutar: 20157.333402902117, Coste con permutacion: 19861.958464188516

Permutacion Pos1: (212(Ciudad: 171)) -> Pos2: (181(Ciudad: 170)). Coste sin permutar: 19861.958464188516, Coste con permutacion: 19760.15789468827

Permutacion Pos1: (147(Ciudad: 51)) -> Pos2: (261(Ciudad: 202)). Coste sin permutar: 19760.15789468827, Coste con permutacion: 19614.772456687595

Permutacion Pos1: (270(Ciudad: 231)) -> Pos2: (265(Ciudad: 243)). Coste sin permutar: 19614.772456687595, Coste con permutacion: 19453.66449308782

Permutacion Pos1: (17(Ciudad: 226)) -> Pos2: (232(Ciudad: 180)). Coste sin permutar: 19453.66449308782, Coste con permutacion: 19271.697194459655

Permutacion Pos1: (57(Ciudad: 121)) -> Pos2: (37(Ciudad: 200)). Coste sin permutar: 19271.697194459655, Coste con permutacion: 19089.614156222455

Permutacion Pos1: (273(Ciudad: 140)) -> Pos2: (25(Ciudad: 236)). Coste sin permutar: 19089.614156222455, Coste con permutacion: 18885.633853013485

Permutacion Pos1: (124(Ciudad: 278)) -> Pos2: (204(Ciudad: 172)). Coste sin permutar: 18885.633853013485, Coste con permutacion: 18741.41116329358

Permutacion Pos1: (125(Ciudad: 194)) -> Pos2: (106(Ciudad: 189)). Coste sin permutar: 18741.41116329358, Coste con permutacion: 18626.21973060474

